"reference_cluster","species","tissue","ref_numOMG","query_cluster","query_numOMG","num_common_OMG","FDR","test"
"Protoxylem","arabidopsis_thaliana","Root",105,0,164,20,0.00903279679419927,"Reject"
"Cork cambium","populus_alba_var_pyramidalis","Stem",180,9,90,24,0.00914309632330335,"Reject"
"Mature stele","zea_mays","Root",131,9,90,8,0.00921140484166672,"Reject"
"Pavement cell-A","zea_mays","Leaf",71,2,141,18,0.00929264020920387,"Reject"
"Mestome sheath","oryza_sativa","Root;Leaf",185,9,90,18,0.00947799601451196,"Reject"
"Phloem_Procamb","solanum_lycopersicum","Root",189,4,118,23,0.00956232285898698,"Reject"
"Phloem parenchyma cell","catharanthus_roseus","Leaf",63,5,149,11,0.00976300543589625,"Reject"
"Phloem parenchyma","arabidopsis_thaliana","Root",156,0,164,29,0.0101468276958112,"Reject"
"Phloem","arabidopsis_thaliana","Root",116,14,85,12,0.0101468276958112,"Reject"
"Phloem","glycine_max","Root",139,4,118,20,0.0108098575460968,"Reject"
"Phloem","manihot_esculenta","Root",121,3,165,17,0.0108104682118605,"Reject"
"Mesophyll","gossypium_bickii","Seed",193,8,149,22,0.0109756865174505,"Reject"
"Mesophyll","oryza_sativa","Leaf",186,1,108,8,0.0112144922706225,"Reject"
"Root cortex","zea_mays","Root",123,12,150,13,0.0118382215047065,"Reject"
"Stem cell niche","arabidopsis_thaliana","Root",130,3,165,15,0.0118747620008822,"Reject"
"Xylem","oryza_sativa","Root;Leaf",184,2,141,30,0.012103671986366,"Reject"
"Radicle","arabidopsis_thaliana","Seed",125,12,150,17,0.0124236607052189,"Reject"
